Policy Type,Training_Reward,Flat_Ground,Stepping_Stones_25%_infill_0.0_height_variation,Stepping_Stones_50%_infill_0.0_height_variation,Stepping_Stones_75%_infill_0.0_height_variation,Stepping_Stones_100%_infill_0.0_height_variation,Stepping_Stones_25%_infill_0.1_height_variation,Stepping_Stones_50%_infill_0.1_height_variation,Stepping_Stones_75%_infill_0.1_height_variation,Stepping_Stones_100%_infill_0.1_height_variation
base,1523.96 ± 121.52,2.51 ± 1.07,0.09 ± 0.05,0.44 ± 0.18,1.91 ± 0.59,2.81 ± 0.39,0.08 ± 0.01,0.31 ± 0.17,1.05 ± 0.47,1.41 ± 0.51
w/ huge observation,1755.27 ± 185.88,2.54 ± 0.83,0.04 ± 0.04,0.45 ± 0.27,2.13 ± 0.69,3.13 ± 0.16,0.03 ± 0.03,0.19 ± 0.23,1.08 ± 0.57,1.93 ± 0.99
w/ huge observation and huge net,1856.90 ± 66.48,2.90 ± 0.32,0.04 ± 0.04,0.63 ± 0.21,2.29 ± 0.27,2.90 ± 0.30,0.05 ± 0.04,0.31 ± 0.09,1.31 ± 0.33,1.85 ± 0.34
