Policy Type,Training_Reward,Flat_Ground,Stepping_Stones_25%_infill_0.0_height_variation,Stepping_Stones_50%_infill_0.0_height_variation,Stepping_Stones_75%_infill_0.0_height_variation,Stepping_Stones_100%_infill_0.0_height_variation,Stepping_Stones_25%_infill_0.1_height_variation,Stepping_Stones_50%_infill_0.1_height_variation,Stepping_Stones_75%_infill_0.1_height_variation,Stepping_Stones_100%_infill_0.1_height_variation
H flat ground (0.99 tau),3.55 ± 3.74,2.34 ± 2.30,-0.04 ± 0.09,-0.02 ± 0.12,0.05 ± 0.12,2.72 ± 2.42,-0.03 ± 0.10,-0.05 ± 0.12,-0.03 ± 0.12,-0.01 ± 0.22
H flat ground + TG,2.90 ± 3.25,3.82 ± 1.36,-0.02 ± 0.11,-0.00 ± 0.11,-0.01 ± 0.11,2.65 ± 1.32,-0.00 ± 0.11,-0.01 ± 0.13,0.02 ± 0.17,0.14 ± 0.29
F flat ground + TG,14.07 ± 1.78,14.07 ± 1.78,0.10 ± 0.14,0.24 ± 0.24,0.58 ± 0.66,9.67 ± 5.01,0.09 ± 0.10,0.23 ± 0.20,0.41 ± 0.51,2.40 ± 2.82
