Policy Type,Training_Reward,Flat_Ground,Stepping_Stones_25%_infill_0.0_height_variation,Stepping_Stones_50%_infill_0.0_height_variation,Stepping_Stones_75%_infill_0.0_height_variation,Stepping_Stones_100%_infill_0.0_height_variation,Stepping_Stones_25%_infill_0.1_height_variation,Stepping_Stones_50%_infill_0.1_height_variation,Stepping_Stones_75%_infill_0.1_height_variation,Stepping_Stones_100%_infill_0.1_height_variation
Slightly easier environment (min stone density 0.5),1748.14 ± 28.05,2.86 ± 0.51,0.00 ± 0.05,0.90 ± 0.11,2.50 ± 0.16,2.85 ± 0.32,0.00 ± 0.03,0.53 ± 0.11,1.66 ± 0.06,1.98 ± 0.15
"Slightly easier environment (min stone density 0.5), lambda = 0.99",1675.21 ± 67.18,2.99 ± 0.23,-0.04 ± 0.02,0.55 ± 0.24,2.40 ± 0.07,3.10 ± 0.01,-0.05 ± 0.02,0.32 ± 0.10,1.33 ± 0.17,2.05 ± 0.19
