Policy Type,Training_Reward,Flat_Ground,Stepping_Stones_25%_infill_0.0_height_variation,Stepping_Stones_50%_infill_0.0_height_variation,Stepping_Stones_75%_infill_0.0_height_variation,Stepping_Stones_100%_infill_0.0_height_variation,Stepping_Stones_25%_infill_0.1_height_variation,Stepping_Stones_50%_infill_0.1_height_variation,Stepping_Stones_75%_infill_0.1_height_variation,Stepping_Stones_100%_infill_0.1_height_variation
H ss state,2.63 ± 2.01,3.29 ± 1.46,0.03 ± 0.08,0.31 ± 0.38,2.05 ± 1.45,4.35 ± 0.61,0.02 ± 0.08,0.15 ± 0.20,1.41 ± 1.22,2.67 ± 1.18
F ss state,3.83 ± 2.61,3.83 ± 2.61,0.42 ± 0.34,3.64 ± 3.24,11.90 ± 3.83,11.56 ± 4.06,0.37 ± 0.34,1.97 ± 2.12,8.22 ± 4.14,11.29 ± 3.18
